---,Name,Star,SemiMajorAu,Eccentricity,InclinationDeg,PeriodDays,RadiusEarth,MassEarth,EqTempK,DiscoveryYear
11_Com_b,11 Com b,11_Com,1.178,0.238,90,323.21,12.2,4914.9,803.26,2007
11_UMi_b,11 UMi b,11_UMi,1.53,0.08,90,516.22,12.3,4684.81,896.43,2009
14_And_b,14 And b,14_And,0.775,0,90,186.76,13.1,1131.15,909.92,2008
14_Her_b,14 Her b,14_Her,2.839,0.3683,146.7,1766.41,12.5,2828.67,147.32,2002
HD_145675_c,HD 145675 c,14_Her,20,0.52,116.3,15732.5,12.6,2510.84,55.51,2021
16_Cyg_B_b,16 Cyg B b,16_Cyg_B,1.66,0.68,90,798.5,13.5,565.737,228.76,1996
17_Sco_b,17 Sco b,17_Sco,1.45,0.06,90,578.38,12.9,1373.02,847.51,2020
18_Del_b,18 Del b,18_Del,2.476,0.024,90,982.85,12.5,2926.25,452.72,2008
1RXS_J160929_1_210524_b,1RXS J160929.1-210524 b,1RXS_J160929_1_210524,330,0,90,-1,18.647,3000,1700,2008
24_Boo_b,24 Boo b,24_Boo,0.194,0.032,90,30.33,13.9,280.642,1840.86,2018
24_Sex_b,24 Sex b,24_Sex,1.333,0.09,90,452.8,13.4,632.46,471.32,2010
24_Sex_c,24 Sex c,24_Sex,2.08,0.29,90,883,13.9,273.32,377.31,2010
2MASS_J01033563_5515561_AB_b,2MASS J01033563-5515561 AB b,2MASS_J01033563_5515561_A,84,0,90,-1,12.3,4131.79,-1,2013
2MASS_J01225093_2439505_b,2MASS J01225093-2439505 b,2MASS_J01225093_2439505,52,0,90,-1,11.209,7786.5,1600,2013
2MASS_J02192210_3925225_b,2MASS J02192210-3925225 b,2MASS_J02192210_3925225,156,0,90,-1,16.141,4417.84,6.27,2015
2MASS_J0249_0557_c,2MASS J0249-0557 c,2MASS_J0249_0557_A,1950,0,90,-1,17.3739,3616.89,1723,2018
2MASS_J03590986_2009361_b,2MASS J03590986+2009361 b,2MASS_J03590986_2009361,572,0,90,-1,12.2,5720.91,2369,2024
2M0437_b,2M0437 b,2MASS_J04372171_2651014,118,0,90,-1,13,1271.31,1450,2021
