---,Name,DistancePc,RaDeg,DecDeg,SpectralType,TeffK,RadiusSun,MassSun,Log10LumSun,PlanetCount
Proxima_Cen,Proxima Cen,1.30119,217.393,-62.6762,M5.5 V,2900,0.141,0.1221,-2.82102,2
Barnard_s_star,Barnard's star,1.82655,269.449,4.73798,M3.5-4 V,3195,0.185,0.162,-2.44977,4
eps_Eri,eps Eri,3.2026,53.2284,-9.45817,K2 V,5020.38,0.759106,0.82,-0.41928,1
GJ_887,GJ 887,3.28679,346.503,-35.8473,M1 V,3688,0.468,0.495,-1.43415,4
Ross_128,Ross 128,3.37454,176.938,0.79929,M4,3192,0.1967,0.168,-2.44129,1
Gl_725_A,Gl 725 A,3.5214,280.683,59.6381,M3,3433,0.351,0.33,-1.809,1
GJ_15_A,GJ 15 A,3.56228,4.61267,44.0247,M1,3607,0.38,0.38,-1.655,2
tau_Cet,tau Cet,3.60304,26.0093,-15.9338,G8.5V,5310,0.83,0.783,-0.30539,3
eps_Ind_A,eps Ind A,3.63857,330.871,-56.7969,K5 V,4700,0.713,0.8,-0.6216,1
GJ_1061,GJ 1061,3.67278,54.0032,-44.5143,M5.5 V,2953,0.156,0.12,-2.76955,3
YZ_Cet,YZ Cet,3.71207,18.1331,-16.9962,M4.5 V,3151,0.157,0.142,-2.65857,3
Teegarden_s_Star,Teegarden's Star,3.83078,43.2691,16.8649,M7.0 V,3034,0.12,0.097,-3.14146,3
Kapteyn,Kapteyn,3.93305,77.9587,-45.043,M2.0V,3550,0.291,0.281,-1.79289,1
Wolf_1061,Wolf 1061,4.30592,247.575,-12.6677,M3.5,3342,0.307,0.294,-1.9914,3
GJ_9066,GJ 9066,4.471,30.0588,13.0443,M5.0 V,3154,0.164,0.15,-2.59517,1
GJ_674,GJ 674,4.54896,262.17,-46.899,M2.5,3600,0.36463,0.35,-1.796,1
GJ_687,GJ 687,4.54939,264.104,68.3337,M3.0V,3413,0.4183,0.4,-1.672,2
GJ_876,GJ 876,4.67517,343.324,-14.2666,M2.5V,3293.74,0.3,0.32,-1.90658,4
GJ_1002,GJ 1002,4.84867,1.67646,-7.54621,M5.5 V,3024,0.137,0.12,-2.85201,2
GJ_832,GJ 832,4.96435,323.391,-49.0125,M2/3 V,3472,0.441557,0.45,-1.585,1
GJ_682,GJ 682,5.00671,264.261,-44.3233,M3.5 V,3028,0.298255,0.27,-2.69897,2
GJ_3323,GJ 3323,5.37484,75.4869,-6.94851,M4,3159,0.119,0.164,-2.56864,2
GJ_251,GJ 251,5.58057,103.7,33.2665,M3.0 V,3342,0.36,0.35,-1.80967,2
GJ_411,GJ 411,5.67577,165.834,35.9723,M1.5 V,3719,0.3685,0.3899,-1.70997,2
GJ_229,GJ 229,5.75624,92.6436,-21.8677,M1.5V,3564,0.46,0.509,-1.55284,2
HD_180617,HD 180617,5.91059,289.228,5.16316,M2.5 V,3534,0.481,0.484,-1.49,1
GJ_273,GJ 273,5.92154,111.852,5.22581,M3.5,3382,0.293,0.29,-2.05552,2
HD_20794,HD 20794,6.00278,49.9998,-43.0667,G6 V,5368,0.93,0.79,-0.16311,4
HN_Lib,HN Lib,6.24442,218.568,-12.517,M4.0 V,3347,0.299,0.291,-1.99542,1
GJ_896_A,GJ 896 A,6.26022,352.97,19.937,M3.5 V,3345,0.394682,0.43599,-1.75523,1
GJ_581,GJ 581,6.2981,229.856,-7.72269,M3.0 V,3500,0.302,0.295,-1.90781,3
GJ_338_B,GJ 338 B,6.33256,138.592,52.6835,M0 V,4014,0.58,0.64,-1.10127,1
GJ_625,GJ 625,6.47249,246.356,54.3034,M2,3499,0.31,0.3,-1.894,1
HD_219134,HD 219134,6.53127,348.337,57.1696,K3 V,4913,0.77,0.794,-0.50864,6
Gl_725_B,Gl 725 B,6.84236,280.695,59.6271,M4,3379,0.28,0.25,-2.038,1
LTT_1445_A,LTT 1445 A,6.86929,45.4625,-16.5945,M3.0,3562,0.271,0.257,-2.04591,2
GJ_393,GJ 393,7.03149,157.229,0.837848,M2.0 V,3579,0.426,0.426,-1.57073,1
GJ_4274,GJ 4274,7.23556,335.781,-17.6104,M4.5 V,3228,0.19,0.18,-2.46218,2
GJ_667_C,GJ 667 C,7.24396,259.751,-34.9978,M1.5 V,3350,1,0.33,-1.863,5
GJ_514,GJ 514,7.61778,202.504,10.3725,M0.5-1.0 V,3728,0.5,0.51,-1.36653,1
GJ_3378,GJ 3378,7.72274,90.2951,59.5932,M4 V,3340,0.275,0.262,-2.07058,1
GJ_1151,GJ 1151,8.03625,177.73,48.3732,M 4.5V,3280,0.1781,0.1639,-2.47952,1
GJ_486,GJ 486,8.07426,191.982,9.74942,M3.5 V,3317,0.3243,0.312,-1.93892,1
Gl_686,Gl 686,8.15728,264.476,18.596,M1.0 V,3656,0.427,0.426,-1.53,1
Gliese_48,Gliese 48,8.23366,15.6582,71.6782,M3.5 V,3450,0.463,0.47,-1.56384,1
GJ_1289,GJ 1289,8.35147,355.781,36.5363,M4.5 Ve,3296,0.245012,0.21,-2.25995,1
61_Vir,61 Vir,8.50332,199.596,-18.3158,G5 V,5577,0.963,0.942,-0.095,3
CD_Cet,CD Cet,8.60715,48.353,4.77519,M5.0 V,3130,0.175,0.161,-2.53254,1
HD_192310,HD 192310,8.79687,303.828,-27.0338,K3V,5166,0.857922,0.8,-0.41454,2
GJ_849,GJ 849,8.80058,332.423,-4.64083,M3.5,3467,0.45,0.45,-1.59,2
GJ_433,GJ 433,9.06456,173.862,-32.5436,M2V,3461,0.5,0.48,-1.69897,3
GJ_367,GJ 367,9.41263,146.121,-45.779,M V,3535,0.457,0.451,-1.54061,3
GJ_357,GJ 357,9.44181,144.007,-21.6651,M2.5 V,3505,0.337,0.342,-1.79833,3
HD_285968,HD 285968,9.47045,70.7354,18.9534,M2 V,3703.49,0.478214,0.5,-1.658,1
GJ_3512,GJ 3512,9.48637,130.332,59.4918,M5.5 V,3141,0.139,0.123,-2.8041,2
G_192_15,G 192-15,9.53114,90.6221,49.8619,M5.0 V,2999,0.170718,0.132,-2.67285,2
Wolf_1069,Wolf 1069,9.58341,306.524,58.5753,M5.0 V,3158,0.1813,0.167,-2.53106,1
GJ_680,GJ 680,9.67315,263.807,-48.6788,K5,3563,0.45933,0.456,-1.51379,1
AU_Mic,AU Mic,9.7221,311.291,-31.3424,M1 V,3540,0.862,0.635,-0.97757,4
GJ_436,GJ 436,9.75321,175.551,26.7031,M2.5 V,3586.11,0.455,0.47,-1.585,1
Gl_49,Gl 49,9.8528,15.6687,62.3454,M1.5 V,3805,0.511,0.515,-1.30645,1
GJ_3988,GJ 3988,9.9105,255.85,51.409,M4.5 V,3273,0.19734,0.1842,-2.39513,1
HD_260655,HD 260655,10.0055,99.2915,17.5663,M0 V,3803,0.439,0.439,-1.43997,2
WISEP_J121756_91_162640_2_A,WISEP J121756.91+162640.2 A,10.1,184.487,16.4445,T8.5,575,0.091,0.029,-6.09,1
L_363_38,L 363-38,10.2295,10.8555,-41.2953,,3129,0.274,0.21,-1.88606,1
GJ_1265,GJ 1265,10.2525,333.432,-17.6871,M4.5 V,3236,0.192,0.178,-2.4389,1
HD_62509,HD 62509,10.34,116.329,28.0261,K0IIIvar,4892.63,8.9,2,1.612,1
GJ_649,GJ 649,10.3796,254.536,25.742,M1.0,3734,0.5,0.51,-1.361,1
GJ_536,GJ 536,10.4092,210.26,-2.65229,M1 V,3641,0.529,0.528,-1.35291,2
GJ_341,GJ 341,10.454,140.399,-60.2812,M1,3770,0.5066,0.48,-1.31072,1
HIP_48714,HIP 48714,10.5298,149.033,62.786,M0.5 Ve,4015.5,0.595456,0.58,-1.15565,1
L_98_59,L 98-59,10.6194,124.533,-68.3145,M3 V,3415,0.3155,0.2923,-1.91364,5
G_261_6,G 261-6,10.6267,291.074,75.5558,M5.5 V,2907,0.153162,0.118,-2.82122,1
HD_147379,HD 147379,10.7643,244.173,67.2392,M0.0 V,4090,0.628304,0.58,-1.09691,1
GJ_86,GJ 86,10.7836,32.6225,-50.821,K1V,5182,0.77,0.93,-0.38952,1
COCONUTS_2_A,COCONUTS-2 A,10.8864,117.301,-76.7027,M3 V,3552,0.366,0.4,-1.719,1
HD_115404_A,HD 115404 A,10.9816,199.216,17.016,K2V,5019.17,0.727007,0.83,-0.5197,2
GJ_1148,GJ 1148,11.0143,175.433,42.7516,M5,3287,0.358519,0.344045,-1.86908,2
GJ_740,GJ 740,11.1017,284.5,5.90287,M1.0 V,3913,0.56,0.58,-1.206,1
HD_3651,HD 3651,11.1336,9.83872,21.2489,K0 V,5221,0.871954,0.799,-0.27415,1
Ross_508,Ross 508,11.2103,230.961,17.4605,M4.5 V,3071,0.2113,0.1774,-2.44503,1
HD_222237,HD 222237,11.4469,354.908,-72.7253,K3 V,4751,0.71,0.76,-0.66555,1
Ross_458,Ross 458,11.5094,195.191,12.3756,M2,3965.42,0.562566,0.556419,-1.29769,1
HD_141004,HD 141004,11.8148,236.61,7.35277,G0Vvar,5885.38,1.38937,1.0519,0.346,1
GJ_414_A,GJ 414 A,11.8893,167.775,30.4452,K7 V,4120,0.68,0.65,-0.92445,2
GJ_96,GJ 96,11.9315,35.5624,47.8802,M2,3785,0.580612,0.6,-1.05159,1
Gl_410,Gl 410,11.9324,165.66,21.9669,K,3842,0.543,0.55,-1.239,1
GJ_180,GJ 180,11.9407,73.4601,-17.7762,M3,3371,0.413049,0.43,-1.88606,3
GJ_806,GJ 806,12.0445,311.27,44.5002,M1.5 V,3600,0.4144,0.413,-1.58528,2
Gliese_12,Gliese 12,12.21,3.95791,13.5576,M4 V,3328,0.265,0.255,-2.13787,1
GJ_179,GJ 179,12.356,73.0245,6.47523,M3.5 V,3370,0.38,0.357,-1.796,1
TRAPPIST_1,TRAPPIST-1,12.4299,346.626,-5.04346,M8.0 V,2566,0.1192,0.0898,-3.25727,7
55_Cnc_B,55 Cnc B,12.4773,133.168,28.3153,M4.5 V,3286,0.274,0.26,-2.10811,2
LHS_475,LHS 475,12.4814,290.238,-82.5598,M3.5 V,3300,0.2789,0.262,-2.06449,1
HD_69830,HD 69830,12.5591,124.601,-12.6364,K0V,5385,0.886947,0.86,-0.22,3
55_Cnc,55 Cnc,12.5855,133.147,28.3298,G8 V,5198,0.98,1.015,-0.19695,5
GJ_1132,GJ 1132,12.613,153.709,-47.1549,M4.5 V,3229,0.2211,0.1945,-2.32148,2
GJ_422,GJ 422,12.6631,168.981,-57.5426,M3.5 V,3323,0.370328,0.35,-1.95861,1
VHS_J125601_92_125723_9,VHS J125601.92-125723.9,12.7,194.009,-12.956,M7.5,2620,1,0.07,-3.14,1
HD_190007,HD 190007,12.7141,300.696,3.3267,K4 V,4610,0.79,0.77,-0.68,1
HIP_56998,HIP 56998,12.7781,175.256,-44.4041,K4/5V,4675,0.63,0.653,-0.78186,2
HD_147513,HD 147513,12.9032,246.006,-39.193,G3/5V,5883,0.98,1.11,-0.01,1
HD_40307,HD 40307,12.9363,88.5172,-60.0237,K2.5 V,4956,0.716684,0.77,-0.639,5
HD_211970,HD 211970,13.1277,335.566,-54.5596,K7 V,4127,0.574175,0.61,-1.06479,1
ups_And,ups And,13.4054,24.1984,41.4038,F8 V,6156.77,1.56,1.3,0.52541,3
HD_22496,HD 22496,13.5956,53.7565,-48.4178,K5/M0V,4385,0.674,0.684,-1.17393,1
GJ_3779,GJ 3779,13.743,200.734,24.4639,M4.0 V,3324,0.281,0.27,-2.06198,1
47_UMa,47 UMa,13.7967,164.865,40.4305,G0V,5872,1.21334,1.06,0.1978,3
TOI_540,TOI-540,14.0022,76.3097,-47.9375,M V,3216,0.1895,0.159,-2.46092,1
gam_Cep,gam Cep,14.1024,354.836,77.6331,K1 III-IV,4775,4.74,1.26,1.073,1
GJ_480,GJ 480,14.2358,189.713,11.6951,M3.5 Ve,3509,0.449,0.45,-1.562,1
GJ_685,GJ 685,14.3155,263.896,61.6793,M0.5,3816,0.54,0.55,-1.253,1
CWISEP_J193518_59_154620_3,CWISEP J193518.59-154620.3,14.43,293.826,-15.7726,Y,5772,1,0.024,0,1
HIP_79431,HIP 79431,14.5324,243.174,-18.8764,M3 V,3191,0.478625,0.49,-1.54921,1
GJ_1214,GJ 1214,14.6427,258.831,4.96068,M4 V,3101,0.2162,0.182,-2.40894,1
HD_136352,HD 136352,14.682,230.44,-48.3188,G4 V,5664,1.058,0.87,0.0162,3
LHS_3844,LHS 3844,14.8846,340.496,-69.1721,M4.5-M5.0,3080,0.189,0.151,-2.56543,1
HD_86728,HD 86728,14.9202,150.25,31.9218,G1V,5610,1.237,0.967,0.13513,1
Gl_378,Gl 378,14.9545,150.587,48.0825,M1,3879,0.56,0.56,-1.22185,1
LHS_1140,LHS 1140,14.9861,11.2486,-15.2741,M4.5 V,3096,0.2159,0.1844,-2.42022,2
GJ_163,GJ 163,15.1285,62.3228,-53.3712,M,3500,0.409738,0.4,-1.708,3
GJ_317,GJ 317,15.1968,130.245,-23.4528,M3.5 V,3496,0.403,0.402,-1.68663,2
GJ_238,GJ 238,15.2142,98.4549,-58.525,M2.5 V,3485,0.4314,0.4193,-1.61618,1
HD_238090,HD 238090,15.2354,183.089,54.4862,M0.0 V,3933,0.57,0.578,-1.15366,1
